,rsi_period,rsi_upper,rsi_lower,macd_fast,macd_slow,macd_signal
AAPL,5,83.87340784995102,32.09338921581828,14,32,11
MSFT,7,79.93527901208425,34.06273498592803,13,31,13
GOOGL,10,82.59526257512451,39.99171487753906,19,31,12
AMZN,7,81.71063866361386,35.848714935098684,18,27,5
NVDA,13,60.540581564941895,31.996782070194783,20,34,15
META,9,70.91712112842207,39.84125069895697,17,37,8
TSLA,5,68.4704087549749,30.4303709217986,12,38,13
JPM,16,66.04152760830479,35.21283130780597,20,35,14
V,13,62.08047899235317,33.29616825769065,15,32,10
WMT,11,78.46679430947857,31.57531850767458,19,39,8
^GSPC,10,63.1041075111701,36.08099678394882,14,24,5
^VIX,6,75.70960823911948,21.096821397964476,18,29,10
EURUSD=X,22,76.22262229489105,39.15307072800107,10,24,8
